x_idx,y_idx,T,qx,qy
1,92,0.000911075,-0.000133241,1.60091e-05
1,93,0.000795255,-0.000116269,1.5894e-05
1,94,0.000680213,-9.95123e-05,1.57951e-05
1,95,0.000565836,-8.26632e-05,1.57108e-05
1,96,0.000452009,-6.62479e-05,1.56432e-05
1,97,0.000338626,-4.924e-05,1.55889e-05
1,98,0.000225569,-3.35026e-05,1.55528e-05
1,99,0.000112739,-1.55249e-05,1.55275e-05
1,100,0,-1.55249e-05,1.55275e-05
2,0,1,-0.00822125,0.0450425
2,1,0.741892,-0.00822125,0.0450425
2,2,0.515623,-0.0200886,0.0297263
2,3,0.374994,-0.0202432,0.0143481
2,4,0.296442,-0.0178733,0.00999594
2,5,0.241981,-0.0160143,0.00659803
2,6,0.204099,-0.0137156,0.00482372
2,7,0.176011,-0.0122223,0.00361903
2,8,0.154487,-0.0107933,0.00283009
2,9,0.137459,-0.00973262,0.00226489
2,10,0.123668,-0.00879044,0.00185618
2,11,0.112268,-0.00803009,0.00154802
2,12,0.102684,-0.00736443,0.00131148
2,13,0.0945119,-0.00680068,0.00112563
2,14,0.0874571,-0.00630494,0.000977194
2,15,0.081302,-0.00587256,0.000856733
2,16,0.0758818,-0.00548838,0.000757673
2,17,0.0710696,-0.00514673,0.000675226
2,18,0.0667662,-0.00483973,0.000605877
2,19,0.0628927,-0.00456286,0.000546986
2,20,0.0593859,-0.00431148,0.000496544
2,21,0.0561945,-0.0040823,0.000453003
2,22,0.0532762,-0.00387234,0.00041515
2,23,0.0505962,-0.00367926,0.000382029
2,24,0.0481253,-0.00350099,0.000352876
2,25,0.0458389,-0.00333585,0.000327073
2,26,0.0437163,-0.00318238,0.000304119
2,27,0.0417398,-0.00303935,0.000283604
2,28,0.039894,-0.00290567,0.000265188
2,29,0.038166,-0.00278043,0.000248587
2,30,0.0365442,-0.00266281,0.000233567
2,31,0.0350187,-0.00255212,0.000219928
2,32,0.0335808,-0.00244773,0.000207501
2,33,0.032223,-0.0023491,0.000196142
2,34,0.0309383,-0.00225574,0.000185729
2,35,0.0297208,-0.00216724,0.000176157
2,36,0.0285651,-0.0020832,0.000167334
2,37,0.0274666,-0.00200329,0.000159181
2,38,0.0264208,-0.00192719,0.00015163
2,39,0.025424,-0.00185464,0.000144621
2,40,0.0244728,-0.00178539,0.000138102
2,41,0.0235639,-0.0017192,0.000132025
2,42,0.0226945,-0.00165588,0.000126351
2,43,0.021862,-0.00159524,0.000121043
2,44,0.0210641,-0.00153711,0.00011607
2,45,0.0202987,-0.00148133,0.000111403
2,46,0.0195637,-0.00142776,0.000107016
2,47,0.0188574,-0.00137627,0.000102889
2,48,0.018178,-0.00132675,9.89989e-05
2,49,0.0175241,-0.00127907,9.5329e-05
2,50,0.0168941,-0.00123313,9.18627e-05
2,51,0.0162869,-0.00118885,8.85851e-05
2,52,0.0157011,-0.00114612,8.5483e-05
2,53,0.0151357,-0.00110488,8.25443e-05
2,54,0.0145895,-0.00106504,7.97581e-05
2,55,0.0140616,-0.00102652,7.71144e-05
2,56,0.013551,-0.000989273,7.46043e-05
2,57,0.0130569,-0.000953221,7.22194e-05
2,58,0.0125784,-0.00091831,6.99522e-05
2,59,0.0121149,-0.000884482,6.77959e-05
2,60,0.0116654,-0.000851686,6.57441e-05
2,61,0.0112295,-0.000819872,6.37912e-05
2,62,0.0108064,-0.000788993,6.19316e-05
